order_id,lane,flow,lines,delay_hours,scan_miss,same_day_complete
W00056,Returns,return,8,1.3,0,0
W00057,Inbound-A,inbound,1,0,0,1
W00058,Outbound-South,outbound,2,1.95,0,0
W00059,Outbound-North,outbound,7,2.42,0,0
W00060,Outbound-North,outbound,4,1.16,0,0
W00061,Outbound-North,outbound,6,0.71,0,1
W00062,Outbound-North,outbound,5,2.36,0,0
W00063,Returns,return,2,1.71,0,0
W00064,Outbound-South,outbound,3,2.48,1,0
W00065,Inbound-A,inbound,6,0.84,0,1
W00066,Outbound-South,outbound,5,2.96,0,0
W00067,Outbound-South,outbound,8,2.97,0,0
W00068,Outbound-North,outbound,4,1.38,0,0
W00069,Inbound-B,inbound,2,1.19,0,0
W00070,Outbound-South,outbound,5,3.18,0,0
W00071,Inbound-A,inbound,5,2.31,0,0
W00072,Inbound-A,inbound,4,0.88,0,1
W00073,Inbound-B,inbound,1,0,0,1
W00074,Inbound-A,inbound,6,4.19,0,0
W00075,Inbound-A,inbound,5,2.04,0,0
W00076,Outbound-North,outbound,6,0,0,1
W00077,Inbound-A,inbound,3,1.43,0,0
W00078,Inbound-B,inbound,4,2.36,0,0
W00079,Inbound-B,inbound,8,1.84,0,0
W00080,Inbound-A,inbound,8,1.66,0,0
W00081,Outbound-North,outbound,5,0.32,0,1
W00082,Outbound-South,outbound,3,3.29,0,0
W00083,Outbound-North,outbound,2,0.1,0,1
W00084,Inbound-B,inbound,3,0.53,0,1
W00085,Outbound-South,outbound,2,3.23,0,0
W00086,Outbound-North,outbound,6,3.43,0,0
W00087,Outbound-North,outbound,6,1.35,1,0
W00088,Outbound-North,outbound,2,0.26,0,1
W00089,Outbound-South,outbound,6,0.52,0,1
W00090,Outbound-South,outbound,2,4.43,0,0
W00091,Outbound-South,outbound,5,1.47,0,0
W00092,Outbound-North,outbound,2,3.84,0,0
W00093,Inbound-A,inbound,5,0,0,1
W00094,Inbound-B,inbound,3,0.15,0,1
W00095,Inbound-A,inbound,2,0.03,0,1
W00096,Inbound-A,inbound,4,0.2,0,1
W00097,Inbound-A,inbound,4,0.91,0,1
W00098,Outbound-South,outbound,2,1.38,0,0
W00099,Inbound-A,inbound,2,1.82,0,0
W00100,Outbound-North,outbound,7,1.81,0,0
W00101,Inbound-B,inbound,3,3.37,0,0
W00102,Outbound-North,outbound,6,0,0,1
W00103,Outbound-South,outbound,1,2.9,0,0
W00104,Inbound-A,inbound,2,0,1,1
W00105,Inbound-B,inbound,3,1.2,0,0
W00106,Outbound-North,outbound,2,2.75,0,0
W00107,Inbound-B,inbound,6,0,0,1
W00108,Returns,return,3,0.0,0,1
W00109,Inbound-A,inbound,2,0.74,0,1
W00110,Outbound-South,outbound,3,5.48,0,0
W00111,Outbound-North,outbound,6,1.05,0,0
W00112,Inbound-A,inbound,8,2.11,0,0
W00113,Returns,return,5,2.37,0,0
W00114,Outbound-South,outbound,3,1.68,0,0
W00115,Outbound-North,outbound,3,1.28,0,0
W00116,Outbound-South,outbound,4,2.21,0,0
W00117,Outbound-South,outbound,8,2.24,0,0
W00118,Outbound-South,outbound,7,1.17,0,0
W00119,Outbound-North,outbound,1,1.99,0,0
W00120,Outbound-North,outbound,6,0.78,0,1
W00121,Outbound-South,outbound,7,3.1,0,0
W00122,Outbound-North,outbound,1,0.84,0,1
W00123,Outbound-South,outbound,2,2.86,0,0
W00124,Outbound-North,outbound,6,2.16,0,0
W00125,Outbound-South,outbound,2,0.64,0,1
W00126,Outbound-North,outbound,8,2.69,0,0
W00127,Returns,return,5,0.67,0,1
W00128,Inbound-B,inbound,6,1.64,0,0
W00129,Returns,return,8,1.6,0,0
W00130,Inbound-A,inbound,4,0.61,0,1
W00131,Outbound-South,outbound,1,5.15,0,0
W00132,Inbound-B,inbound,4,0,0,1
W00133,Inbound-B,inbound,1,0,0,1
W00134,Inbound-A,inbound,4,0,0,1
W00135,Inbound-A,inbound,4,0,0,1
W00136,Outbound-South,outbound,5,1.59,0,0
W00137,Outbound-North,outbound,7,1.06,0,0
W00138,Inbound-B,inbound,3,0.35,0,1
W00139,Outbound-South,outbound,8,0.79,0,1
W00140,Outbound-South,outbound,8,3.75,0,0
W00141,Outbound-South,outbound,3,0.02,0,1
W00142,Outbound-North,outbound,3,2.06,0,0
W00143,Inbound-B,inbound,2,1.2,0,0
W00144,Inbound-A,inbound,2,0.26,0,1
W00145,Inbound-A,inbound,2,3.33,0,0
W00146,Inbound-A,inbound,3,0.07,0,1
W00147,Outbound-North,outbound,2,0.6,0,1
W00148,Outbound-South,outbound,3,3.98,0,0
W00149,Returns,return,3,0.72,0,1
W00150,Returns,return,7,3.14,0,0
W00151,Outbound-South,outbound,4,0.48,0,1
W00152,Inbound-A,inbound,5,1.69,0,0
W00153,Outbound-South,outbound,2,1.47,0,0
W00154,Outbound-South,outbound,6,4.44,0,0
W00155,Inbound-A,inbound,1,1.27,0,0
W00156,Inbound-B,inbound,7,0,0,1
W00157,Outbound-North,outbound,8,2.52,0,0
W00158,Outbound-North,outbound,2,1.52,0,0
W00159,Outbound-North,outbound,5,1.65,0,0
W00160,Outbound-North,outbound,6,0.16,0,1
W00161,Returns,return,6,2.46,0,0
W00162,Inbound-B,inbound,7,0.89,0,1
W00163,Inbound-A,inbound,7,1.78,0,0
W00164,Inbound-A,inbound,5,1.57,0,0
W00165,Inbound-A,inbound,1,2.3,0,0
W00166,Returns,return,2,1.16,0,0
W00167,Inbound-B,inbound,8,0.16,0,1
W00168,Outbound-South,outbound,1,2.78,0,0
W00169,Outbound-North,outbound,6,2.48,0,0
W00170,Outbound-South,outbound,2,0.0,0,1
W00171,Outbound-North,outbound,8,0.51,0,1
W00172,Inbound-B,inbound,7,0,0,1
W00173,Outbound-North,outbound,1,1.99,0,0
W00174,Inbound-B,inbound,8,0.62,0,1
W00175,Inbound-A,inbound,7,1.65,0,0
W00176,Outbound-South,outbound,3,1.51,0,0
W00177,Outbound-South,outbound,1,5.81,0,0
W00178,Outbound-North,outbound,2,1.06,0,0
W00179,Returns,return,3,1.23,0,0
W00180,Outbound-South,outbound,6,2.03,0,0
W00181,Outbound-North,outbound,3,0.52,0,1
W00182,Inbound-B,inbound,3,0.45,0,1
W00183,Outbound-South,outbound,3,1.52,0,0
W00184,Outbound-North,outbound,1,1.89,0,0
W00185,Outbound-North,outbound,1,2.27,0,0
W00186,Outbound-South,outbound,2,1.93,0,0
W00187,Outbound-South,outbound,5,0.1,0,1
W00188,Outbound-North,outbound,7,2.2,0,0
W00189,Inbound-A,inbound,5,1.0,0,0
W00190,Returns,return,7,0.0,0,1
W00191,Outbound-North,outbound,8,0.78,0,1
W00192,Outbound-North,outbound,1,0,0,1
W00193,Inbound-A,inbound,3,1.83,0,0
W00194,Outbound-North,outbound,6,0.95,0,1
W00195,Inbound-B,inbound,6,3.05,0,0
W00196,Outbound-South,outbound,5,1.09,0,0
W00197,Outbound-South,outbound,4,1.2,0,0
W00198,Inbound-A,inbound,7,1.23,0,0
W00199,Outbound-North,outbound,2,1.8,0,0
W00200,Inbound-B,inbound,4,0.93,0,1
W00201,Inbound-A,inbound,1,0,0,1
W00202,Inbound-A,inbound,8,1.28,0,0
W00203,Inbound-B,inbound,2,0,0,1
W00204,Outbound-North,outbound,2,2.3,0,0
W00205,Inbound-B,inbound,5,0.14,0,1
W00206,Outbound-South,outbound,7,1.07,0,0
W00207,Inbound-B,inbound,2,0,0,1
W00208,Outbound-North,outbound,2,0.57,0,1
W00209,Outbound-South,outbound,3,0.63,0,1
W00210,Outbound-North,outbound,3,1.57,1,0
W00211,Outbound-North,outbound,1,2.19,0,0
W00212,Outbound-South,outbound,2,0.65,0,1
W00213,Inbound-A,inbound,7,2.31,0,0
W00214,Outbound-North,outbound,6,1.6,0,0
W00215,Inbound-B,inbound,5,0,0,1
W00216,Inbound-A,inbound,8,1.68,0,0
W00217,Inbound-B,inbound,4,0.48,0,1
W00218,Inbound-A,inbound,1,1.86,0,0
W00219,Outbound-North,outbound,7,1.47,0,0
W00220,Inbound-A,inbound,4,0.81,0,1
W00221,Inbound-A,inbound,2,0.93,0,1
W00222,Outbound-North,outbound,7,1.32,0,0
W00223,Outbound-North,outbound,3,1.76,0,0
W00224,Outbound-North,outbound,5,2.05,0,0
W00225,Inbound-B,inbound,8,0,0,1
W00226,Outbound-South,outbound,3,2.42,0,0
W00227,Inbound-A,inbound,5,0.6,0,1
W00228,Outbound-South,outbound,7,2.2,1,0
W00229,Outbound-North,outbound,4,2.23,0,0
W00230,Returns,return,6,0.0,0,1
W00231,Outbound-North,outbound,6,1.1,0,0
W00232,Outbound-South,outbound,1,0.62,0,1
W00233,Inbound-B,inbound,1,1.55,0,0
W00234,Outbound-South,outbound,2,2.5,0,0
W00235,Inbound-A,inbound,8,0,0,1
W00236,Returns,return,3,0.95,0,1
W00237,Outbound-North,outbound,2,1.06,0,0
W00238,Outbound-North,outbound,3,0.18,0,1
W00239,Outbound-North,outbound,8,0.39,0,1
W00240,Outbound-North,outbound,4,1.74,0,0
W00241,Outbound-South,outbound,2,1.42,0,0
W00242,Inbound-A,inbound,2,0,0,1
W00243,Returns,return,8,0.17,0,1
W00244,Outbound-North,outbound,7,0.95,0,1
W00245,Inbound-B,inbound,8,0.8,0,1
W00246,Outbound-North,outbound,8,1.42,0,0
W00247,Outbound-North,outbound,1,0.74,0,1
W00248,Inbound-A,inbound,5,0,0,1
W00249,Outbound-North,outbound,7,0.11,0,1
W00250,Inbound-A,inbound,7,0.43,0,1
W00251,Outbound-South,outbound,8,1.11,0,0
W00252,Inbound-A,inbound,2,1.84,0,0
W00253,Outbound-South,outbound,1,3.69,0,0
W00254,Outbound-North,outbound,8,0.66,0,1
W00255,Inbound-A,inbound,5,1.39,0,0
W00256,Inbound-A,inbound,2,2.23,0,0
W00257,Outbound-South,outbound,4,0.47,0,1
W00258,Inbound-B,inbound,8,1.91,0,0
W00259,Returns,return,8,0.69,0,1
W00260,Outbound-North,outbound,6,2.69,0,0
W00261,Outbound-South,outbound,5,3.7,0,0
W00262,Inbound-B,inbound,7,0.75,0,1
W00263,Inbound-B,inbound,3,0,0,1
W00264,Inbound-A,inbound,5,0,0,1
W00265,Inbound-A,inbound,1,0,0,1
W00266,Inbound-B,inbound,2,0.57,0,1
W00267,Inbound-A,inbound,5,1.48,0,0
W00268,Outbound-North,outbound,1,1.59,0,0
W00269,Outbound-South,outbound,1,1.24,0,0
W00270,Inbound-B,inbound,8,1.9,0,0
W00271,Returns,return,7,0.0,0,1
W00272,Returns,return,4,0.0,0,1
W00273,Outbound-South,outbound,4,0.0,0,1
W00274,Returns,return,7,0.39,0,1
W00275,Outbound-North,outbound,3,1.1,0,0
W00276,Inbound-A,inbound,5,0,0,1
W00277,Inbound-A,inbound,2,0.5,0,1
W00278,Inbound-A,inbound,2,2.37,0,0
W00279,Outbound-South,outbound,3,2.53,0,0
W00280,Inbound-A,inbound,4,0,0,1
W00281,Outbound-South,outbound,1,1.17,0,0
W00282,Returns,return,1,0.87,0,1
W00283,Inbound-B,inbound,5,1.51,0,0
W00284,Outbound-North,outbound,5,1.52,0,0
W00285,Inbound-B,inbound,5,0,0,1
W00286,Inbound-A,inbound,2,0,0,1
W00287,Inbound-B,inbound,2,0,0,1
W00288,Inbound-A,inbound,8,0,0,1
W00289,Inbound-B,inbound,3,0,0,1
W00290,Outbound-North,outbound,1,2.23,0,0
W00291,Outbound-South,outbound,5,0.7,0,1
W00292,Inbound-A,inbound,4,2.41,0,0
W00293,Inbound-B,inbound,4,0.54,0,1
W00294,Inbound-A,inbound,5,2.15,0,0
W00295,Outbound-South,outbound,5,2.74,0,0
W00296,Inbound-B,inbound,3,1.03,0,0
W00297,Inbound-A,inbound,6,1.19,0,0
W00298,Outbound-North,outbound,5,0,0,1
W00299,Outbound-North,outbound,8,0,0,1
W00300,Outbound-South,outbound,2,2.1,0,0
W00301,Returns,return,2,1.77,0,0
W00302,Outbound-North,outbound,6,1.23,0,0
W00303,Outbound-South,outbound,2,0.0,0,1
W00304,Outbound-South,outbound,2,0.0,1,1
W00305,Outbound-North,outbound,7,0.81,0,1
W00306,Outbound-North,outbound,3,1.1,0,0
W00307,Outbound-South,outbound,1,5.46,0,0
W00308,Outbound-North,outbound,6,2.39,0,0
W00309,Inbound-B,inbound,2,0.52,0,1
W00310,Inbound-B,inbound,1,1.24,0,0
W00311,Inbound-B,inbound,2,0,0,1
W00312,Outbound-South,outbound,2,1.11,0,0
W00313,Outbound-North,outbound,4,2.59,0,0
W00314,Outbound-North,outbound,7,1.41,0,0
W00315,Inbound-A,inbound,3,0,0,1
W00316,Inbound-A,inbound,6,0.26,0,1
W00317,Inbound-A,inbound,7,0.52,0,1
W00318,Outbound-South,outbound,3,0.61,0,1
W00319,Inbound-B,inbound,2,1.86,0,0
W00320,Returns,return,5,0.0,0,1
W00321,Outbound-North,outbound,7,1.07,0,0
W00322,Inbound-B,inbound,6,1.8,0,0
W00323,Outbound-North,outbound,8,0.03,0,1
W00324,Outbound-North,outbound,5,2.33,0,0
W00325,Inbound-A,inbound,6,1.59,0,0
W00326,Inbound-B,inbound,1,2.43,0,0
W00327,Outbound-South,outbound,4,2.84,0,0
W00328,Outbound-South,outbound,8,0.8,0,1
W00329,Inbound-A,inbound,5,1.39,0,0
W00330,Outbound-North,outbound,4,2.77,0,0
W00331,Outbound-North,outbound,4,1.44,0,0
W00332,Outbound-North,outbound,4,0.07,0,1
W00333,Inbound-A,inbound,3,1.71,0,0
W00334,Inbound-A,inbound,7,0,0,1
W00335,Returns,return,2,0.0,0,1
W00336,Inbound-A,inbound,7,0.47,0,1
W00337,Outbound-South,outbound,8,2.89,1,0
W00338,Outbound-North,outbound,5,0.86,0,1
W00339,Inbound-A,inbound,8,0,0,1
W00340,Outbound-North,outbound,1,2.88,0,0
W00341,Inbound-B,inbound,3,1.29,0,0
W00342,Outbound-North,outbound,5,0,0,1
W00343,Outbound-South,outbound,4,2.06,1,0
W00344,Outbound-South,outbound,2,0.0,0,1
W00345,Outbound-North,outbound,2,0.13,0,1
W00346,Outbound-North,outbound,7,1.86,0,0
W00347,Returns,return,8,0.29,0,1
W00348,Outbound-North,outbound,4,1.35,1,0
W00349,Inbound-A,inbound,5,0.28,0,1
W00350,Inbound-A,inbound,2,0,0,1
W00351,Outbound-North,outbound,2,2.79,0,0
W00352,Inbound-B,inbound,8,0,0,1
W00353,Outbound-South,outbound,3,1.8,0,0
W00354,Outbound-South,outbound,2,0.98,0,1
W00355,Inbound-A,inbound,8,1.92,0,0
W00356,Outbound-North,outbound,7,1.6,0,0
W00357,Inbound-A,inbound,4,0.52,0,1
W00358,Inbound-A,inbound,6,0,0,1
W00359,Outbound-North,outbound,5,2.23,0,0
W00360,Outbound-South,outbound,7,3.88,0,0
W00361,Inbound-B,inbound,2,0.9,0,1
W00362,Outbound-North,outbound,5,2.31,0,0
W00363,Outbound-South,outbound,6,3.36,0,0
W00364,Outbound-North,outbound,6,2.59,0,0
W00365,Returns,return,7,1.12,0,0
W00366,Inbound-B,inbound,1,1.5,1,0
W00367,Inbound-A,inbound,8,0.71,0,1
W00368,Inbound-B,inbound,8,0.37,0,1
W00369,Outbound-North,outbound,7,0.64,0,1
W00370,Inbound-A,inbound,4,0.47,0,1
W00371,Outbound-South,outbound,1,0.08,0,1
W00372,Outbound-South,outbound,6,2.66,0,0
W00373,Inbound-A,inbound,6,0.55,0,1
W00374,Inbound-A,inbound,2,0,0,1
W00375,Outbound-North,outbound,1,1.84,0,0
W00376,Outbound-South,outbound,7,4.8,0,0
W00377,Outbound-South,outbound,4,2.34,0,0
W00378,Inbound-A,inbound,3,0,0,1
W00379,Inbound-B,inbound,2,0.01,0,1
W00380,Outbound-South,outbound,4,5.57,0,0
W00381,Inbound-A,inbound,2,0,0,1
W00382,Inbound-A,inbound,2,1.22,0,0
W00383,Outbound-South,outbound,6,1.46,0,0
W00384,Inbound-A,inbound,8,0.92,0,1
W00385,Returns,return,4,0.0,0,1
W00386,Inbound-A,inbound,3,1.37,0,0
W00387,Outbound-North,outbound,7,2.17,0,0
W00388,Inbound-A,inbound,6,0,0,1
W00389,Outbound-North,outbound,2,2.52,0,0
W00390,Outbound-South,outbound,6,1.73,0,0
W00391,Returns,return,5,0.0,0,1
W00392,Inbound-A,inbound,3,1.41,0,0
W00393,Inbound-B,inbound,6,0,0,1
W00394,Outbound-South,outbound,2,5.46,0,0
W00395,Inbound-B,inbound,1,2.1,0,0
W00396,Inbound-A,inbound,4,0.81,0,1
W00397,Outbound-South,outbound,8,1.4,0,0
W00398,Returns,return,1,0.08,0,1
W00399,Returns,return,3,0.14,0,1
W00400,Outbound-North,outbound,4,1.04,0,0
W00401,Outbound-South,outbound,1,0.81,0,1
W00402,Inbound-A,inbound,4,0.72,0,1
W00403,Inbound-B,inbound,8,2.26,0,0
W00404,Outbound-North,outbound,7,0,0,1
W00405,Outbound-North,outbound,6,3.03,0,0
W00406,Outbound-South,outbound,6,2.0,0,0
W00407,Inbound-A,inbound,5,0.53,0,1
W00408,Outbound-North,outbound,6,1.37,0,0
W00409,Outbound-North,outbound,5,1.36,0,0
W00410,Inbound-A,inbound,8,1.17,0,0
W00411,Outbound-South,outbound,4,3.96,0,0
W00412,Outbound-North,outbound,1,0.91,0,1
W00413,Outbound-North,outbound,1,1.97,0,0
W00414,Inbound-B,inbound,5,1.43,0,0
W00415,Inbound-A,inbound,7,1.43,0,0
W00416,Outbound-South,outbound,5,4.51,0,0
W00417,Outbound-North,outbound,4,0.66,0,1
W00418,Outbound-North,outbound,4,1.07,0,0
W00419,Inbound-B,inbound,3,0,0,1
W00420,Inbound-A,inbound,3,1.78,0,0
W00421,Outbound-North,outbound,1,3.05,0,0
W00422,Inbound-B,inbound,7,1.42,0,0
W00423,Inbound-A,inbound,2,0.12,0,1
W00424,Inbound-A,inbound,1,0.84,0,1
W00425,Returns,return,1,0.0,0,1
W00426,Outbound-North,outbound,1,1.48,0,0
W00427,Outbound-North,outbound,3,1.38,0,0
W00428,Inbound-A,inbound,5,0,0,1
W00429,Outbound-North,outbound,7,2.13,0,0
W00430,Outbound-South,outbound,8,3.76,0,0
W00431,Outbound-South,outbound,2,1.38,0,0
W00432,Outbound-South,outbound,2,0.43,0,1
W00433,Returns,return,3,1.1,0,0
W00434,Inbound-A,inbound,7,1.2,0,0
W00435,Outbound-South,outbound,7,3.71,0,0
W00436,Inbound-B,inbound,5,1.48,0,0
W00437,Inbound-A,inbound,2,0.98,0,1
W00438,Inbound-B,inbound,3,0.88,0,1
W00439,Outbound-South,outbound,8,0.62,0,1
W00440,Outbound-North,outbound,5,0,0,1
W00441,Outbound-South,outbound,2,1.06,0,0
W00442,Inbound-B,inbound,6,0.82,0,1
W00443,Returns,return,8,4.4,0,0
W00444,Outbound-North,outbound,5,0.84,1,1
W00445,Outbound-North,outbound,8,3.8,0,0
W00446,Inbound-B,inbound,6,2.05,0,0
W00447,Outbound-North,outbound,2,3.3,0,0
W00448,Inbound-A,inbound,8,0.98,0,1
W00449,Outbound-North,outbound,1,1.85,0,0
W00450,Inbound-A,inbound,2,1.94,0,0
W00451,Inbound-A,inbound,8,0.5,0,1
W00452,Outbound-South,outbound,6,1.67,0,0
W00453,Outbound-South,outbound,4,3.1,0,0
W00454,Inbound-A,inbound,7,0,0,1
W00455,Inbound-B,inbound,6,0.57,0,1
W00456,Inbound-A,inbound,2,3.6,0,0
W00457,Inbound-B,inbound,2,2.3,0,0
W00458,Outbound-North,outbound,1,2.69,1,0
W00459,Outbound-South,outbound,3,4.92,0,0
W00460,Outbound-South,outbound,3,1.68,0,0
W00461,Inbound-A,inbound,1,1.46,0,0
W00462,Outbound-South,outbound,5,4.75,0,0
W00463,Outbound-North,outbound,6,0.35,0,1
W00464,Outbound-South,outbound,8,3.43,0,0
W00465,Outbound-South,outbound,8,3.58,0,0
W00466,Outbound-South,outbound,5,3.72,0,0
W00467,Outbound-South,outbound,4,5.35,0,0
W00468,Returns,return,8,5.21,0,0
W00469,Inbound-A,inbound,7,0,0,1
W00470,Outbound-South,outbound,4,3.98,0,0
W00471,Inbound-A,inbound,4,0.77,0,1
W00472,Outbound-North,outbound,7,2.11,0,0
W00473,Inbound-A,inbound,7,0.16,0,1
W00474,Outbound-South,outbound,5,2.53,0,0
W00475,Inbound-A,inbound,1,2.29,0,0
W00476,Outbound-South,outbound,8,1.21,0,0
W00477,Outbound-North,outbound,7,1.76,1,0
W00478,Inbound-A,inbound,7,0.91,0,1
W00479,Outbound-South,outbound,2,1.18,0,0
W00480,Inbound-A,inbound,4,0.79,0,1
W00481,Outbound-North,outbound,5,0.95,0,1
W00482,Inbound-B,inbound,1,1.07,0,0
W00483,Inbound-B,inbound,4,1.77,0,0
W00484,Outbound-North,outbound,2,2.07,0,0
W00485,Inbound-B,inbound,2,2.12,0,0
W00486,Inbound-A,inbound,2,1.32,0,0
W00487,Inbound-A,inbound,2,0.73,0,1
W00488,Inbound-B,inbound,3,1.2,0,0
W00489,Outbound-North,outbound,7,1.83,0,0
W00490,Outbound-North,outbound,4,0,0,1
W00491,Returns,return,4,1.24,0,0
W00492,Outbound-North,outbound,4,0,0,1
W00493,Returns,return,5,0.0,1,1
W00494,Outbound-South,outbound,3,1.98,0,0
W00495,Outbound-North,outbound,8,4.25,1,0
W00496,Outbound-North,outbound,1,2.09,0,0
W00497,Inbound-A,inbound,1,2.2,0,0
W00498,Inbound-A,inbound,3,0.34,0,1
W00499,Outbound-North,outbound,8,1.85,0,0
W00500,Outbound-North,outbound,2,0.68,0,1
W00501,Returns,return,4,0.0,0,1
W00502,Inbound-A,inbound,3,0.83,0,1
W00503,Inbound-B,inbound,3,0.34,0,1
W00504,Outbound-North,outbound,1,0,0,1
W00505,Inbound-A,inbound,1,0.52,0,1
W00506,Inbound-A,inbound,5,2.1,0,0
W00507,Returns,return,7,0.16,0,1
W00508,Inbound-A,inbound,4,0.7,0,1
W00509,Inbound-A,inbound,8,0.24,0,1
W00510,Outbound-North,outbound,8,1.53,0,0
W00511,Outbound-North,outbound,6,0.74,0,1
W00512,Inbound-A,inbound,5,0.69,0,1
W00513,Outbound-South,outbound,5,4.6,0,0
W00514,Outbound-North,outbound,1,1.16,0,0
W00515,Outbound-North,outbound,3,1.88,0,0
W00516,Outbound-North,outbound,7,0,0,1
W00517,Returns,return,3,0.35,0,1
W00518,Inbound-A,inbound,6,1.1,0,0
W00519,Inbound-B,inbound,5,1.99,0,0
W00520,Outbound-South,outbound,4,2.6,0,0
W00521,Inbound-B,inbound,6,0.77,0,1
W00522,Returns,return,4,1.17,0,0
W00523,Outbound-North,outbound,2,1.39,0,0
W00524,Inbound-A,inbound,4,0,0,1
W00525,Inbound-A,inbound,6,0,0,1
W00526,Inbound-A,inbound,5,0,0,1
W00527,Outbound-South,outbound,5,3.27,0,0
W00528,Inbound-B,inbound,7,0.71,0,1
W00529,Inbound-A,inbound,7,0,0,1
W00530,Outbound-South,outbound,3,1.02,0,0
W00531,Outbound-South,outbound,4,3.2,0,0
W00532,Outbound-North,outbound,1,0.7,0,1
W00533,Returns,return,1,2.3,0,0
W00534,Inbound-A,inbound,4,0,0,1
W00535,Outbound-South,outbound,2,0.0,0,1
W00536,Inbound-A,inbound,1,1.51,0,0
W00537,Outbound-North,outbound,1,2.07,0,0
W00538,Inbound-A,inbound,7,0.0,0,1
W00539,Returns,return,4,0.0,0,1
W00540,Inbound-A,inbound,5,0.1,0,1
W00541,Returns,return,4,0.0,0,1
W00542,Outbound-South,outbound,2,2.93,0,0
W00543,Outbound-North,outbound,8,4.32,0,0
W00544,Outbound-North,outbound,1,3.29,0,0
W00545,Outbound-South,outbound,3,0.0,1,1
W00546,Inbound-B,inbound,6,0.36,0,1
W00547,Inbound-A,inbound,7,2.25,0,0
W00548,Inbound-A,inbound,3,0.58,0,1
W00549,Inbound-A,inbound,1,0,0,1
W00550,Outbound-North,outbound,4,1.01,0,0
W00551,Inbound-A,inbound,1,0,0,1
W00552,Outbound-South,outbound,4,0.68,0,1
W00553,Inbound-B,inbound,2,0.81,0,1
W00554,Outbound-North,outbound,8,0.18,0,1
W00555,Returns,return,1,0.96,0,1
W00556,Outbound-North,outbound,3,2.23,0,0
W00557,Inbound-A,inbound,1,2.16,1,0
W00558,Inbound-B,inbound,5,0,0,1
W00559,Outbound-South,outbound,6,2.02,0,0
W00560,Inbound-A,inbound,8,0.48,0,1
W00561,Outbound-North,outbound,3,1.59,1,0
W00562,Outbound-South,outbound,3,3.65,0,0
W00563,Returns,return,5,0.2,0,1
W00564,Outbound-North,outbound,4,2.28,0,0
W00565,Inbound-B,inbound,4,0,1,1
W00566,Inbound-A,inbound,6,0.25,0,1
W00567,Outbound-North,outbound,1,0.85,0,1
W00568,Returns,return,3,0.0,0,1
W00569,Inbound-A,inbound,4,0.22,0,1
W00570,Outbound-South,outbound,4,2.43,0,0
W00571,Outbound-South,outbound,2,4.33,0,0
W00572,Inbound-A,inbound,2,0,0,1
W00573,Outbound-North,outbound,7,1.38,0,0
